Module Name,Total Time (seconds)
ansible.utils.unsafe_proxy,28.79
ansible.utils.vars,602.98
ansible.vars.hostvars,603.01
ansible.vars.plugins,603.08
ansible.vars.reserved,603.16
blib2to3.pgen2.grammar,601.49
blib2to3.pgen2.literals,601.43
blib2to3.pgen2.parse,601.45
blib2to3.pytree,602.36
codetiming._timers,601.38
cookiecutter.find,601.30
cookiecutter.prompt,999.00
cookiecutter.replay,601.40
cookiecutter.repository,999.00
cookiecutter.zipfile,999.00
docstring_parser.common,601.36
docstring_parser.google,601.51
docstring_parser.numpydoc,603.41
docstring_parser.parser,602.57
docstring_parser.rest,601.33
flutes.iterator,601.48
flutes.structure,601.31
flutes.timing,601.32
flutils.codecs.b64,601.34
flutils.codecs.raw_utf8_escape,601.28
flutils.decorators,601.38
flutils.namedtupleutils,601.46
flutils.objutils,439.96
flutils.packages,601.36
flutils.setuputils.cfg,601.47
flutils.txtutils,999.00
httpie.cli.argparser,602.24
httpie.cli.requestitems,601.63
httpie.context,999.00
httpie.models,601.28
httpie.output.formatters.colors,601.88
httpie.output.formatters.headers,213.05
httpie.output.formatters.json,601.32
httpie.output.streams,601.60
httpie.output.writer,999.00
httpie.plugins.base,601.38
httpie.plugins.manager,601.48
httpie.utils,73.33
isort.exceptions,18.22
isort.format,999.00
mimesis.builtins.en,5.04
mimesis.builtins.pl,999.00
mimesis.builtins.pt_br,602.22
mimesis.builtins.ru,617.16
mimesis.providers.address,620.16
mimesis.providers.base,602.07
mimesis.providers.choice,604.50
mimesis.providers.cryptographic,999.00
mimesis.providers.generic,999.00
mimesis.providers.internet,999.00
mimesis.providers.path,28.70
mimesis.providers.structure,1009.78
mimesis.providers.text,888.43
mimesis.random,43.30
mimesis.schema,742.70
py_backwards.conf,603.17
py_backwards.files,621.31
py_backwards.transformers.base,601.49
py_backwards.transformers.dict_unpacking,601.37
py_backwards.transformers.metaclass,601.21
py_backwards.transformers.python2_future,601.46
py_backwards.transformers.return_from_generator,601.48
py_backwards.transformers.six_moves,601.71
py_backwards.transformers.starred_unpacking,602.57
py_backwards.transformers.string_types,601.29
py_backwards.transformers.super_without_arguments,601.27
py_backwards.transformers.variables_annotations,601.27
py_backwards.transformers.yield_from,601.31
py_backwards.types,601.38
py_backwards.utils.helpers,999.00
py_backwards.utils.snippet,602.14
py_backwards.utils.tree,999.00
pymonet.box,601.37
pymonet.either,601.25
pymonet.immutable_list,601.23
pymonet.lazy,601.31
pymonet.maybe,601.29
pymonet.monad_try,601.25
pymonet.semigroups,601.35
pymonet.task,601.41
pymonet.utils,601.25
pymonet.validation,601.33
pypara.accounting.journaling,601.78
pypara.accounting.ledger,602.19
pypara.commons.errors,601.33
pypara.exchange,601.44
pypara.monetary,999.00
semantic_release.ci_checks,601.49
semantic_release.helpers,999.00
semantic_release.settings,601.56
string_utils.generation,601.22
string_utils.manipulation,168.61
string_utils.validation,999.00
pytutils.env,601.34
pytutils.excs,601.17
pytutils.files,601.21
pytutils.lazy.lazy_import,601.29
pytutils.lazy.lazy_regex,601.54
pytutils.lazy.simple_import,601.40
pytutils.path,20.46
pytutils.props,601.36
pytutils.python,601.18
pytutils.trees,601.30
pytutils.urls,601.33
sty.lib,23.14
sty.primitive,601.38
thefuck.rules.django_south_merge,601.45
thonny.jedi_utils,602.09
thonny.plugins.pgzero_frontend,601.84
thonny.roughparse,602.88
tornado.concurrent,601.93
tornado.escape,602.04
tornado.httpclient,999.00
tornado.locale,603.05
tornado.log,999.00
tornado.netutil,999.00
tornado.queues,601.59
tornado.simple_httpclient,999.00
tornado.tcpclient,602.38
tornado.util,601.57
tqdm._tqdm_pandas,601.30
tqdm.contrib.utils_worker,601.42
typesystem.base,113.27
typesystem.composites,601.28
typesystem.fields,999.00
typesystem.formats,601.58
typesystem.schemas,999.00
typesystem.tokenize.positional_validation,601.39
typesystem.tokenize.tokenize_json,601.53
typesystem.tokenize.tokenize_yaml,601.42
youtube_dl.aes,605.40
youtube_dl.downloader.common,604.61
youtube_dl.downloader.dash,604.24
youtube_dl.downloader.f4m,606.42
youtube_dl.downloader.fragment,604.93
youtube_dl.downloader.hls,603.83
youtube_dl.downloader.ism,604.01
youtube_dl.extractor.archiveorg,603.74
youtube_dl.extractor.eitb,603.39
youtube_dl.extractor.fourtube,604.29
youtube_dl.extractor.glide,603.52
youtube_dl.extractor.heise,604.00
youtube_dl.extractor.hitrecord,603.84
youtube_dl.extractor.itv,603.65
youtube_dl.extractor.konserthusetplay,603.82
youtube_dl.extractor.linuxacademy,999.00
youtube_dl.extractor.nrk,605.78
youtube_dl.extractor.safari,603.57
youtube_dl.extractor.soundgasm,603.44
youtube_dl.extractor.tf1,605.21
youtube_dl.extractor.thestar,603.46
youtube_dl.extractor.trutv,603.50
youtube_dl.extractor.tudou,603.74
youtube_dl.extractor.tvplay,604.31
youtube_dl.extractor.udn,603.55
youtube_dl.extractor.walla,603.70
youtube_dl.extractor.zdf,604.48
youtube_dl.jsinterp,606.61
youtube_dl.postprocessor.common,603.82
youtube_dl.postprocessor.metadatafromtitle,603.60
youtube_dl.postprocessor.xattrpp,603.82
youtube_dl.socks,697.70
youtube_dl.swfinterp,605.23
