Module Name,Total Time (seconds)
pysnooper.pycompat,601.80
pysnooper.tracer,999.00
pysnooper.utils,601.41
pysnooper.variables,601.37
ansible.cli.adhoc,999.00
ansible.cli.arguments.option_helpers,604.28
ansible.cli.console,999.00
ansible.cli.doc,605.01
ansible.cli.inventory,999.00
ansible.cli.playbook,999.00
ansible.cli.vault,999.00
ansible.collections.list,602.59
ansible.config.data,602.45
ansible.config.manager,609.36
ansible.constants,999.00
ansible.context,602.99
ansible.executor.discovery.python_target,602.68
ansible.executor.interpreter_discovery,999.00
ansible.executor.play_iterator,603.36
ansible.executor.powershell.module_manifest,603.27
ansible.executor.process.worker,999.00
ansible.executor.stats,106.87
ansible.executor.task_result,603.59
ansible.galaxy.api,999.00
ansible.galaxy.token,999.00
ansible.inventory.group,999.00
ansible.inventory.helpers,602.51
ansible.inventory.host,602.96
ansible.module_utils.api,602.42
ansible.module_utils.common._utils,602.59
ansible.module_utils.common.arg_spec,602.53
ansible.module_utils.common.collections,602.48
ansible.module_utils.common.dict_transformations,175.24
ansible.module_utils.common.json,602.56
ansible.module_utils.common.locale,602.60
ansible.module_utils.common.network,602.89
ansible.module_utils.common.parameters,604.75
ansible.module_utils.common.process,602.74
ansible.module_utils.common.sys_info,602.75
ansible.module_utils.common.text.converters,603.97
ansible.module_utils.common.text.formatters,999.00
ansible.module_utils.common.validation,603.03
ansible.module_utils.compat.selinux,999.00
ansible.module_utils.compat.version,603.42
ansible.module_utils.facts.ansible_collector,999.00
ansible.module_utils.facts.collector,603.06
ansible.module_utils.facts.compat,602.64
ansible.module_utils.facts.hardware.aix,602.96
ansible.module_utils.facts.hardware.darwin,602.72
ansible.module_utils.facts.hardware.freebsd,603.40
ansible.module_utils.facts.hardware.hpux,603.59
ansible.module_utils.facts.hardware.hurd,602.83
ansible.module_utils.facts.hardware.netbsd,604.20
ansible.module_utils.facts.hardware.openbsd,602.74
ansible.module_utils.facts.hardware.sunos,603.13
ansible.module_utils.facts.network.aix,603.15
ansible.module_utils.facts.network.darwin,78.64
ansible.module_utils.facts.network.fc_wwn,603.40
ansible.module_utils.facts.network.generic_bsd,604.15
ansible.module_utils.facts.network.hpux,604.25
ansible.module_utils.facts.network.hurd,602.87
ansible.module_utils.facts.network.linux,603.29
ansible.module_utils.facts.network.sunos,602.46
ansible.module_utils.facts.other.facter,602.66
ansible.module_utils.facts.other.ohai,602.88
ansible.module_utils.facts.packages,602.77
ansible.module_utils.facts.sysctl,602.80
ansible.module_utils.facts.system.apparmor,602.72
ansible.module_utils.facts.system.caps,602.73
ansible.module_utils.facts.system.chroot,602.70
ansible.module_utils.facts.system.cmdline,603.18
ansible.module_utils.facts.system.date_time,602.79
ansible.module_utils.facts.system.distribution,603.32
ansible.module_utils.facts.system.dns,603.04
ansible.module_utils.facts.system.fips,602.76
ansible.module_utils.facts.system.local,603.24
ansible.module_utils.facts.system.lsb,602.80
ansible.module_utils.facts.system.platform,604.08
ansible.module_utils.facts.system.python,602.85
ansible.module_utils.facts.system.selinux,602.77
ansible.module_utils.facts.system.service_mgr,602.87
ansible.module_utils.facts.system.ssh_pub_keys,602.56
ansible.module_utils.facts.system.user,602.89
ansible.module_utils.facts.utils,999.00
ansible.module_utils.facts.virtual.freebsd,602.91
ansible.module_utils.facts.virtual.hpux,603.41
ansible.module_utils.facts.virtual.linux,613.61
ansible.module_utils.facts.virtual.netbsd,605.18
ansible.module_utils.facts.virtual.openbsd,602.74
ansible.module_utils.facts.virtual.sunos,603.28
ansible.module_utils.facts.virtual.sysctl,603.82
ansible.module_utils.pycompat24,602.96
ansible.module_utils.splitter,602.82
ansible.module_utils.yumdnf,602.70
ansible.modules.apt_repository,604.69
ansible.modules.command,602.98
ansible.modules.cron,605.70
ansible.modules.debconf,603.47
ansible.modules.dnf,604.92
ansible.modules.dpkg_selections,602.52
ansible.modules.expect,602.60
ansible.modules.getent,602.60
ansible.modules.iptables,999.00
ansible.modules.lineinfile,603.10
ansible.modules.ping,602.64
ansible.modules.pip,604.39
ansible.modules.replace,602.56
ansible.modules.rpm_key,603.13
ansible.modules.slurp,999.00
ansible.modules.subversion,603.31
ansible.modules.systemd,603.91
ansible.modules.sysvinit,604.71
ansible.modules.yum_repository,602.55
ansible.parsing.ajson,602.69
ansible.parsing.dataloader,999.00
ansible.parsing.mod_args,603.48
ansible.parsing.quoting,22.76
ansible.parsing.splitter,999.00
ansible.parsing.utils.addresses,32.06
ansible.parsing.utils.jsonify,602.68
ansible.parsing.utils.yaml,603.00
ansible.parsing.yaml.constructor,999.00
ansible.parsing.yaml.dumper,603.44
ansible.parsing.yaml.loader,602.80
ansible.parsing.yaml.objects,603.08
ansible.playbook.attribute,603.07
ansible.playbook.base,604.70
ansible.playbook.block,603.32
ansible.playbook.collectionsearch,603.06
ansible.playbook.conditional,999.00
ansible.playbook.handler_task_include,602.94
ansible.playbook.included_file,999.00
ansible.playbook.play,603.21
ansible.playbook.play_context,603.01
ansible.playbook.playbook_include,999.00
ansible.playbook.role.definition,602.75
ansible.playbook.role.include,555.68
ansible.playbook.role.metadata,603.18
ansible.playbook.role.requirement,603.22
ansible.playbook.role_include,603.34
ansible.playbook.taggable,602.93
ansible.playbook.task,603.64
ansible.plugins.action.assemble,603.07
ansible.plugins.action.assert,603.02
ansible.plugins.action.copy,604.39
ansible.plugins.action.debug,603.29
ansible.plugins.action.fail,602.91
ansible.plugins.action.fetch,603.10
ansible.plugins.action.gather_facts,603.37
ansible.plugins.action.group_by,602.76
ansible.plugins.action.include_vars,602.92
ansible.plugins.action.normal,604.34
ansible.plugins.action.pause,604.90
ansible.plugins.action.reboot,603.51
ansible.plugins.action.service,603.58
ansible.plugins.action.set_fact,602.99
ansible.plugins.action.set_stats,602.91
ansible.plugins.action.shell,602.71
ansible.plugins.action.unarchive,602.91
ansible.plugins.action.validate_argument_spec,603.03
ansible.plugins.action.yum,603.14
ansible.plugins.become.su,73.94
ansible.plugins.become.sudo,150.79
ansible.plugins.cache.jsonfile,602.80
ansible.plugins.callback.default,604.10
ansible.plugins.callback.junit,603.39
ansible.plugins.callback.minimal,602.97
ansible.plugins.callback.oneline,602.74
ansible.plugins.callback.tree,603.47
ansible.plugins.connection.paramiko_ssh,603.33
ansible.plugins.connection.psrp,999.00
ansible.plugins.filter.core,603.29
ansible.plugins.filter.encryption,602.75
ansible.plugins.filter.mathstuff,603.15
ansible.plugins.filter.urls,602.84
ansible.plugins.filter.urlsplit,29.06
ansible.plugins.inventory.advanced_host_list,603.00
ansible.plugins.inventory.auto,603.09
ansible.plugins.inventory.constructed,603.17
ansible.plugins.inventory.generator,603.02
ansible.plugins.inventory.host_list,603.23
ansible.plugins.inventory.ini,603.04
ansible.plugins.inventory.toml,999.00
ansible.plugins.inventory.yaml,603.06
ansible.plugins.loader,999.00
ansible.plugins.lookup.config,603.26
ansible.plugins.lookup.csvfile,603.06
ansible.plugins.lookup.first_found,602.70
ansible.plugins.lookup.ini,602.83
ansible.plugins.lookup.inventory_hostnames,999.00
ansible.plugins.lookup.nested,604.77
ansible.plugins.lookup.random_choice,602.63
ansible.plugins.lookup.sequence,602.83
ansible.plugins.lookup.subelements,603.01
ansible.plugins.lookup.together,602.71
ansible.plugins.lookup.url,999.00
ansible.plugins.lookup.varnames,602.77
ansible.plugins.lookup.vars,603.02
ansible.plugins.shell.powershell,999.00
ansible.plugins.strategy.debug,603.00
ansible.plugins.strategy.free,999.00
ansible.plugins.strategy.linear,999.00
ansible.plugins.vars.host_group_vars,602.79
ansible.template.native_helpers,602.68
ansible.template.safe_eval,603.10
ansible.template.vars,602.61
ansible.utils._junit_xml,602.79
ansible.utils.collection_loader._collection_config,602.66
ansible.utils.collection_loader._collection_finder,604.45
ansible.utils.color,602.91
ansible.utils.context_objects,602.72
ansible.utils.hashing,999.00
ansible.utils.helpers,602.93
ansible.utils.jsonrpc,602.76
ansible.utils.listify,602.82
ansible.utils.lock,602.57
ansible.utils.py3compat,602.82
ansible.utils.singleton,602.58
