Module Name,Total Time (seconds)
ansible.plugins.lookup.vars,602.93
ansible.plugins.strategy.debug,999.00
ansible.plugins.vars.host_group_vars,602.73
ansible.template.native_helpers,602.84
ansible.template.safe_eval,603.98
ansible.template.vars,602.89
ansible.utils._junit_xml,999.00
ansible.utils.collection_loader._collection_config,602.96
ansible.utils.collection_loader._collection_finder,604.04
ansible.utils.color,602.78
ansible.utils.context_objects,603.78
ansible.utils.helpers,602.77
ansible.utils.jsonrpc,602.63
ansible.utils.listify,602.74
ansible.utils.lock,602.64
ansible.utils.py3compat,602.68
ansible.utils.singleton,602.83
ansible.utils.unsafe_proxy,63.35
ansible.utils.vars,604.43
ansible.vars.hostvars,603.06
ansible.vars.plugins,603.17
ansible.vars.reserved,602.99
blib2to3.pgen2.grammar,603.88
blib2to3.pgen2.literals,602.14
blib2to3.pgen2.parse,601.46
blib2to3.pytree,601.76
codetiming._timers,601.31
cookiecutter.find,601.60
cookiecutter.replay,601.36
docstring_parser.common,601.30
docstring_parser.google,999.00
docstring_parser.numpydoc,601.50
docstring_parser.parser,601.85
docstring_parser.rest,601.46
flutes.iterator,601.56
flutes.structure,601.48
flutes.timing,601.39
flutils.codecs.b64,601.31
flutils.codecs.raw_utf8_escape,601.57
flutils.decorators,601.46
flutils.namedtupleutils,601.32
flutils.objutils,410.39
flutils.packages,602.47
flutils.setuputils.cfg,601.57
httpie.cli.argparser,603.48
httpie.cli.requestitems,601.59
httpie.models,601.83
httpie.output.formatters.colors,602.04
httpie.output.formatters.headers,114.94
httpie.output.formatters.json,134.71
httpie.output.streams,999.00
httpie.plugins.base,601.43
httpie.plugins.manager,601.33
httpie.utils,98.69
isort.exceptions,60.32
mimesis.builtins.en,4.70
mimesis.builtins.pt_br,601.85
mimesis.builtins.ru,625.51
mimesis.providers.address,643.76
mimesis.providers.base,601.74
mimesis.providers.choice,601.83
mimesis.providers.path,23.99
mimesis.providers.structure,999.00
mimesis.providers.text,999.00
mimesis.random,43.07
mimesis.schema,1176.39
py_backwards.conf,829.41
py_backwards.files,807.67
py_backwards.transformers.base,754.12
py_backwards.transformers.dict_unpacking,603.13
py_backwards.transformers.metaclass,602.74
py_backwards.transformers.python2_future,601.31
py_backwards.transformers.return_from_generator,601.99
py_backwards.transformers.six_moves,601.40
py_backwards.transformers.starred_unpacking,601.17
py_backwards.transformers.string_types,601.26
py_backwards.transformers.super_without_arguments,601.59
py_backwards.transformers.variables_annotations,601.38
py_backwards.transformers.yield_from,604.92
py_backwards.types,601.24
py_backwards.utils.snippet,602.59
pymonet.box,601.45
pymonet.either,601.23
pymonet.immutable_list,601.49
pymonet.lazy,601.62
pymonet.maybe,601.60
pymonet.monad_try,601.32
pymonet.semigroups,601.29
pymonet.task,601.15
pymonet.utils,601.52
pymonet.validation,601.35
pypara.accounting.journaling,601.32
pypara.accounting.ledger,999.00
pypara.commons.errors,601.28
pypara.exchange,601.40
semantic_release.ci_checks,601.64
semantic_release.settings,602.05
string_utils.generation,601.20
string_utils.manipulation,422.38
pytutils.env,72.86
pytutils.excs,601.38
pytutils.files,999.00
pytutils.lazy.lazy_import,601.61
pytutils.lazy.lazy_regex,601.93
pytutils.lazy.simple_import,601.58
pytutils.path,23.14
pytutils.props,601.25
pytutils.python,601.16
pytutils.trees,601.37
pytutils.urls,601.25
sty.lib,17.17
sty.primitive,601.31
thefuck.rules.django_south_merge,601.55
thonny.jedi_utils,602.10
thonny.plugins.pgzero_frontend,601.83
thonny.roughparse,603.05
tornado.concurrent,602.18
tornado.escape,601.71
tornado.locale,999.00
tornado.queues,602.18
tornado.tcpclient,999.00
tornado.util,602.96
tqdm._tqdm_pandas,601.22
tqdm.contrib.utils_worker,601.40
typesystem.base,144.76
typesystem.composites,601.32
typesystem.formats,601.51
typesystem.tokenize.positional_validation,601.28
typesystem.tokenize.tokenize_json,601.56
typesystem.tokenize.tokenize_yaml,601.59
youtube_dl.aes,625.80
youtube_dl.downloader.common,603.73
youtube_dl.downloader.dash,604.10
youtube_dl.downloader.f4m,604.33
youtube_dl.downloader.fragment,604.02
youtube_dl.downloader.hls,604.24
youtube_dl.downloader.ism,999.00
youtube_dl.extractor.archiveorg,604.23
youtube_dl.extractor.eitb,603.79
youtube_dl.extractor.fourtube,603.52
youtube_dl.extractor.glide,603.43
youtube_dl.extractor.heise,603.90
youtube_dl.extractor.hitrecord,603.63
youtube_dl.extractor.itv,603.89
youtube_dl.extractor.konserthusetplay,604.15
youtube_dl.extractor.nrk,604.32
youtube_dl.extractor.safari,604.38
youtube_dl.extractor.soundgasm,603.71
youtube_dl.extractor.tf1,603.45
youtube_dl.extractor.thestar,603.59
youtube_dl.extractor.trutv,999.00
youtube_dl.extractor.tudou,603.65
youtube_dl.extractor.tvplay,604.43
youtube_dl.extractor.udn,603.50
youtube_dl.extractor.walla,603.66
youtube_dl.extractor.zdf,603.73
youtube_dl.jsinterp,604.93
youtube_dl.postprocessor.common,603.57
youtube_dl.postprocessor.metadatafromtitle,603.38
youtube_dl.postprocessor.xattrpp,603.66
youtube_dl.socks,701.69
youtube_dl.swfinterp,605.63
