Module Name,Total Time (seconds)
ansible.module_utils.pycompat24,604.91
ansible.module_utils.splitter,605.10
ansible.module_utils.urls,22710.73
ansible.module_utils.yumdnf,604.96
ansible.modules.apt_repository,604.90
ansible.modules.command,605.01
ansible.modules.cron,606.76
ansible.modules.debconf,604.13
ansible.modules.dnf,612.24
ansible.modules.dpkg_selections,604.88
ansible.modules.expect,604.44
ansible.modules.getent,604.69
ansible.modules.iptables,610.98
ansible.modules.lineinfile,605.39
ansible.modules.ping,604.73
ansible.modules.pip,606.06
ansible.modules.replace,604.02
ansible.modules.rpm_key,604.48
ansible.modules.slurp,603.81
ansible.modules.subversion,605.50
ansible.modules.systemd,607.56
ansible.modules.sysvinit,606.51
ansible.modules.yum_repository,605.25
ansible.parsing.ajson,604.43
ansible.parsing.dataloader,610.29
ansible.parsing.mod_args,605.56
ansible.parsing.quoting,40.96
ansible.parsing.splitter,607.45
ansible.parsing.utils.addresses,57.95
ansible.parsing.utils.jsonify,604.30
ansible.parsing.utils.yaml,605.76
ansible.parsing.yaml.constructor,603.99
ansible.parsing.yaml.dumper,604.98
ansible.parsing.yaml.loader,604.01
ansible.parsing.yaml.objects,604.51
ansible.playbook.attribute,606.50
ansible.playbook.base,606.71
ansible.playbook.block,605.41
ansible.playbook.collectionsearch,604.20
ansible.playbook.conditional,605.41
ansible.playbook.handler_task_include,604.08
ansible.playbook.helpers,1244.92
ansible.playbook.included_file,664.15
ansible.playbook.play,604.95
ansible.playbook.play_context,604.36
ansible.playbook.playbook_include,604.75
ansible.playbook.role.definition,604.98
ansible.playbook.role.include,604.28
ansible.playbook.role.metadata,604.72
ansible.playbook.role.requirement,604.79
ansible.playbook.role_include,604.99
ansible.playbook.taggable,604.56
ansible.playbook.task,605.04
ansible.playbook.task_include,7506.75
ansible.plugins.action.assemble,605.30
ansible.plugins.action.assert,605.02
ansible.plugins.action.copy,606.77
ansible.plugins.action.debug,604.80
ansible.plugins.action.fail,604.82
ansible.plugins.action.fetch,605.25
ansible.plugins.action.gather_facts,604.93
ansible.plugins.action.group_by,604.71
ansible.plugins.action.include_vars,605.82
ansible.plugins.action.normal,605.05
ansible.plugins.action.pause,605.47
ansible.plugins.action.reboot,605.90
ansible.plugins.action.service,604.88
ansible.plugins.action.set_fact,604.76
ansible.plugins.action.set_stats,604.96
ansible.plugins.action.shell,604.91
ansible.plugins.action.unarchive,604.67
ansible.plugins.action.validate_argument_spec,604.82
ansible.plugins.action.wait_for_connection,2117.88
ansible.plugins.action.yum,604.93
ansible.plugins.become.su,150.24
ansible.plugins.become.sudo,313.05
ansible.plugins.cache.jsonfile,604.39
ansible.plugins.callback.default,604.68
ansible.plugins.callback.junit,604.85
ansible.plugins.callback.minimal,604.19
ansible.plugins.callback.oneline,604.79
ansible.plugins.callback.tree,604.55
ansible.plugins.connection.paramiko_ssh,609.30
ansible.plugins.connection.psrp,605.06
ansible.plugins.filter.core,604.89
ansible.plugins.filter.encryption,606.02
ansible.plugins.filter.mathstuff,604.31
ansible.plugins.filter.urls,604.85
ansible.plugins.filter.urlsplit,46.41
ansible.plugins.inventory.advanced_host_list,604.90
ansible.plugins.inventory.auto,604.07
ansible.plugins.inventory.constructed,604.23
ansible.plugins.inventory.generator,604.38
ansible.plugins.inventory.host_list,604.71
ansible.plugins.inventory.ini,604.50
ansible.plugins.inventory.toml,608.54
ansible.plugins.inventory.yaml,604.68
ansible.plugins.loader,603.55
ansible.plugins.lookup.config,604.11
ansible.plugins.lookup.csvfile,604.22
ansible.plugins.lookup.file,5088.54
ansible.plugins.lookup.fileglob,357.41
ansible.plugins.lookup.first_found,604.10
ansible.plugins.lookup.ini,604.38
ansible.plugins.lookup.inventory_hostnames,602.68
ansible.plugins.lookup.nested,604.07
ansible.plugins.lookup.random_choice,603.81
ansible.plugins.lookup.sequence,603.77
ansible.plugins.lookup.subelements,606.06
ansible.plugins.lookup.template,1658.65
ansible.plugins.lookup.together,604.48
ansible.plugins.lookup.unvault,6227.66
ansible.plugins.lookup.url,604.66
ansible.plugins.lookup.varnames,604.05
ansible.plugins.lookup.vars,604.51
ansible.plugins.shell.powershell,615.52
ansible.plugins.strategy.debug,605.89
ansible.plugins.strategy.free,610.48
ansible.plugins.strategy.host_pinned,2024.11
ansible.plugins.strategy.linear,605.66
ansible.plugins.vars.host_group_vars,604.60
ansible.template.native_helpers,605.21
ansible.template.safe_eval,605.97
ansible.template.vars,604.25
ansible.utils._junit_xml,604.20
ansible.utils.collection_loader._collection_config,604.40
ansible.utils.collection_loader._collection_finder,605.08
ansible.utils.color,604.45
ansible.utils.context_objects,605.71
ansible.utils.hashing,603.99
ansible.utils.helpers,604.04
ansible.utils.jsonrpc,604.29
ansible.utils.listify,604.40
ansible.utils.lock,604.25
ansible.utils.py3compat,604.43
ansible.utils.singleton,603.95
ansible.utils.unsafe_proxy,47.24
ansible.utils.vars,604.80
ansible.utils.version,1916.25
ansible.vars.clean,999.00
ansible.vars.fact_cache,6177.76
ansible.vars.hostvars,604.21
ansible.vars.manager,5422.01
ansible.vars.plugins,604.33
ansible.vars.reserved,604.43
apimd.loader,999.00
apimd.parser,999.00
blib2to3.pgen2.grammar,605.54
blib2to3.pgen2.literals,605.62
blib2to3.pgen2.parse,603.79
blib2to3.pgen2.pgen,999.00
blib2to3.pgen2.tokenize,999.00
blib2to3.pytree,603.62
codetiming._timers,603.18
cookiecutter.find,603.87
cookiecutter.prompt,617.13
cookiecutter.replay,603.56
cookiecutter.repository,957.95
cookiecutter.zipfile,909.09
dataclasses_json.cfg,999.00
dataclasses_json.core,999.00
dataclasses_json.mm,999.00
dataclasses_json.undefined,999.00
docstring_parser.common,602.79
docstring_parser.google,602.85
docstring_parser.numpydoc,602.70
docstring_parser.parser,602.62
docstring_parser.rest,612.38
flutes.iterator,602.86
flutes.structure,602.86
flutes.timing,602.66
flutils.codecs.b64,603.06
flutils.codecs.raw_utf8_escape,602.75
flutils.decorators,602.81
flutils.namedtupleutils,602.63
flutils.objutils,280.11
flutils.packages,602.63
flutils.pathutils,999.00
flutils.setuputils.cfg,602.76
flutils.txtutils,604.42
httpie.cli.argparser,604.39
httpie.cli.definition,999.00
httpie.cli.requestitems,603.35
httpie.client,999.00
httpie.config,999.00
httpie.context,351.36
httpie.core,999.00
httpie.models,603.40
httpie.output.formatters.colors,603.77
httpie.output.formatters.headers,425.34
httpie.output.formatters.json,603.08
httpie.output.processing,999.00
httpie.output.streams,604.76
httpie.output.writer,605.00
httpie.plugins.base,602.76
httpie.plugins.manager,604.80
httpie.sessions,999.00
httpie.uploads,999.00
httpie.utils,1023.48
isort.exceptions,79.47
isort.format,673.12
mimesis.builtins.en,11.12
mimesis.builtins.pl,164.11
mimesis.builtins.pt_br,604.23
mimesis.builtins.ru,629.85
mimesis.decorators,1614.52
mimesis.providers.address,633.37
mimesis.providers.base,619.09
mimesis.providers.choice,619.53
mimesis.providers.cryptographic,855.86
mimesis.providers.generic,670.52
mimesis.providers.internet,631.78
mimesis.providers.path,26.15
mimesis.providers.payment,5740.20
mimesis.providers.person,1962.42
mimesis.providers.structure,655.36
mimesis.providers.text,630.89
mimesis.random,35.60
mimesis.schema,677.94
py_backwards.compiler,999.00
py_backwards.conf,603.52
py_backwards.files,605.25
py_backwards.main,999.00
py_backwards.transformers.base,603.34
py_backwards.transformers.dict_unpacking,603.65
py_backwards.transformers.metaclass,603.42
py_backwards.transformers.python2_future,603.25
py_backwards.transformers.return_from_generator,603.45
py_backwards.transformers.six_moves,603.94
py_backwards.transformers.starred_unpacking,604.07
py_backwards.transformers.string_types,603.30
py_backwards.transformers.super_without_arguments,604.03
py_backwards.transformers.variables_annotations,603.66
py_backwards.transformers.yield_from,603.62
py_backwards.types,603.27
py_backwards.utils.helpers,604.52
py_backwards.utils.snippet,606.17
py_backwards.utils.tree,602.33
pymonet.box,603.04
pymonet.either,602.98
pymonet.immutable_list,603.16
pymonet.lazy,602.74
pymonet.maybe,603.13
pymonet.monad_try,602.96
pymonet.semigroups,603.10
pymonet.task,602.69
pymonet.utils,603.43
pymonet.validation,603.23
pypara.accounting.journaling,603.12
pypara.accounting.ledger,603.46
pypara.commons.errors,603.38
pypara.dcc,999.00
pypara.exchange,603.20
pypara.monetary,604.60
semantic_release.ci_checks,603.19
semantic_release.dist,999.00
semantic_release.helpers,603.18
semantic_release.hvcs,999.00
semantic_release.pypi,999.00
semantic_release.settings,605.07
string_utils.generation,603.42
string_utils.manipulation,141.61
string_utils.validation,603.18
pytutils.env,33.13
pytutils.excs,603.07
pytutils.files,601.19
pytutils.lazy.lazy_import,603.06
pytutils.lazy.lazy_regex,603.16
pytutils.lazy.simple_import,602.87
pytutils.log,999.00
pytutils.path,21.65
pytutils.props,602.63
pytutils.python,603.04
pytutils.trees,603.46
pytutils.urls,604.86
sanic.blueprint_group,999.00
sanic.cookies,999.00
sanic.exceptions,999.00
sanic.headers,999.00
sanic.helpers,999.00
sanic.mixins.exceptions,999.00
sanic.mixins.middleware,999.00
sanic.mixins.routes,999.00
sanic.response,999.00
sanic.router,999.00
sanic.utils,999.00
sty.lib,27.76
sty.primitive,604.30
thefuck.argument_parser,999.00
thefuck.conf,999.00
thefuck.corrector,999.00
thefuck.entrypoints.alias,999.00
thefuck.entrypoints.fix_command,999.00
thefuck.entrypoints.main,999.00
thefuck.entrypoints.not_configured,999.00
thefuck.entrypoints.shell_logger,999.00
thefuck.logs,999.00
thefuck.rules.aws_cli,999.00
thefuck.rules.brew_install,999.00
thefuck.rules.cat_dir,999.00
thefuck.rules.choco_install,999.00
thefuck.rules.cp_create_destination,999.00
thefuck.rules.dirty_unzip,999.00
thefuck.rules.django_south_merge,604.84
thefuck.rules.git_add_force,999.00
thefuck.rules.git_commit_reset,999.00
thefuck.rules.git_diff_no_index,999.00
thefuck.rules.git_push_pull,999.00
thefuck.rules.git_rm_recursive,999.00
thefuck.rules.lein_not_task,999.00
thefuck.rules.no_such_file,999.00
thefuck.rules.pacman_invalid_option,999.00
thefuck.rules.rm_root,999.00
thefuck.rules.scm_correction,999.00
thefuck.rules.sudo_command_from_user_path,999.00
thefuck.rules.tsuru_not_command,999.00
thefuck.rules.vagrant_up,999.00
thefuck.shells.generic,999.00
thefuck.system.unix,999.00
thefuck.types,999.00
thonny.jedi_utils,609.29
thonny.plugins.pgzero_frontend,609.24
thonny.roughparse,609.77
tornado.auth,999.00
tornado.concurrent,606.53
tornado.escape,606.63
tornado.httpclient,612.27
tornado.locale,606.81
tornado.locks,999.00
tornado.log,605.25
tornado.netutil,605.57
tornado.options,999.00
tornado.queues,606.31
tornado.simple_httpclient,607.51
tornado.tcpclient,605.81
tornado.util,605.46
tqdm._tqdm_pandas,609.09
tqdm.auto,999.00
tqdm.contrib.itertools,999.00
tqdm.contrib.logging,999.00
tqdm.contrib.telegram,999.00
tqdm.contrib.utils_worker,606.86
tqdm.gui,999.00
tqdm.notebook,999.00
tqdm.rich,999.00
typesystem.base,109.90
typesystem.composites,607.59
typesystem.fields,609.29
typesystem.formats,612.28
typesystem.json_schema,999.00
typesystem.schemas,611.02
typesystem.tokenize.positional_validation,608.57
typesystem.tokenize.tokenize_json,612.66
typesystem.tokenize.tokenize_yaml,610.64
typesystem.tokenize.tokens,999.00
youtube_dl.aes,612.68
youtube_dl.downloader.common,613.52
youtube_dl.downloader.dash,611.95
youtube_dl.downloader.f4m,613.19
youtube_dl.downloader.fragment,613.58
youtube_dl.downloader.hls,614.13
youtube_dl.downloader.http,999.00
youtube_dl.downloader.ism,611.69
youtube_dl.extractor.archiveorg,613.09
youtube_dl.extractor.eitb,610.67
youtube_dl.extractor.fourtube,611.00
youtube_dl.extractor.glide,611.60
youtube_dl.extractor.heise,614.40
youtube_dl.extractor.hitrecord,613.20
youtube_dl.extractor.itv,610.99
youtube_dl.extractor.konserthusetplay,611.43
youtube_dl.extractor.linuxacademy,614.35
youtube_dl.extractor.nrk,617.12
youtube_dl.extractor.safari,616.60
youtube_dl.extractor.soundgasm,614.25
youtube_dl.extractor.tf1,615.16
youtube_dl.extractor.thestar,612.09
youtube_dl.extractor.trutv,613.07
youtube_dl.extractor.tudou,611.60
youtube_dl.extractor.tvplay,611.30
youtube_dl.extractor.udn,610.75
youtube_dl.extractor.walla,611.14
youtube_dl.extractor.zdf,611.48
youtube_dl.jsinterp,614.01
youtube_dl.options,999.00
youtube_dl.postprocessor.common,611.07
youtube_dl.postprocessor.metadatafromtitle,610.71
youtube_dl.postprocessor.xattrpp,609.41
youtube_dl.socks,722.83
youtube_dl.swfinterp,610.44
