Module Name,Total Time (seconds)
pysnooper.pycompat,604.69
pysnooper.tracer,602.53
pysnooper.utils,605.16
pysnooper.variables,603.69
ansible.cli.adhoc,602.21
ansible.cli.arguments.option_helpers,606.37
ansible.cli.console,603.33
ansible.cli.doc,609.04
ansible.cli.inventory,602.29
ansible.cli.playbook,20.23
ansible.cli.scripts.ansible_connection_cli_stub,1290.07
ansible.cli.vault,233.54
ansible.collections.list,604.04
ansible.config.data,605.95
ansible.config.manager,602.56
ansible.constants,15.94
ansible.context,604.00
ansible.executor.discovery.python_target,604.75
ansible.executor.interpreter_discovery,604.38
ansible.executor.play_iterator,604.47
ansible.executor.playbook_executor,1542.65
ansible.executor.powershell.module_manifest,604.62
ansible.executor.process.worker,605.21
ansible.executor.stats,98.09
ansible.executor.task_result,604.32
ansible.galaxy.api,604.53
ansible.galaxy.token,604.13
ansible.inventory.data,31992.17
ansible.inventory.group,606.70
ansible.inventory.helpers,605.32
ansible.inventory.host,607.84
ansible.inventory.manager,999.00
ansible.module_utils.api,607.67
ansible.module_utils.common._utils,605.82
ansible.module_utils.common.arg_spec,620.37
ansible.module_utils.common.collections,620.17
ansible.module_utils.common.dict_transformations,471.96
ansible.module_utils.common.json,626.63
ansible.module_utils.common.locale,619.67
ansible.module_utils.common.network,606.42
ansible.module_utils.common.parameters,605.22
ansible.module_utils.common.process,620.11
ansible.module_utils.common.sys_info,604.54
ansible.module_utils.common.text.converters,605.44
ansible.module_utils.common.text.formatters,648.45
ansible.module_utils.common.validation,609.87
ansible.module_utils.compat.selinux,605.24
ansible.module_utils.compat.version,604.46
ansible.module_utils.connection,999.00
ansible.module_utils.facts.ansible_collector,606.52
ansible.module_utils.facts.collector,604.65
ansible.module_utils.facts.compat,605.70
ansible.module_utils.facts.hardware.aix,604.17
ansible.module_utils.facts.hardware.darwin,606.64
ansible.module_utils.facts.hardware.freebsd,605.10
ansible.module_utils.facts.hardware.hpux,604.29
ansible.module_utils.facts.hardware.hurd,605.63
ansible.module_utils.facts.hardware.netbsd,605.88
ansible.module_utils.facts.hardware.openbsd,606.14
ansible.module_utils.facts.hardware.sunos,604.67
ansible.module_utils.facts.network.aix,604.02
ansible.module_utils.facts.network.darwin,145.89
ansible.module_utils.facts.network.fc_wwn,606.21
ansible.module_utils.facts.network.generic_bsd,604.47
ansible.module_utils.facts.network.hpux,605.36
ansible.module_utils.facts.network.hurd,603.87
ansible.module_utils.facts.network.linux,605.56
ansible.module_utils.facts.network.sunos,604.27
ansible.module_utils.facts.other.facter,605.20
ansible.module_utils.facts.other.ohai,605.90
ansible.module_utils.facts.packages,605.91
ansible.module_utils.facts.sysctl,603.81
ansible.module_utils.facts.system.apparmor,605.65
ansible.module_utils.facts.system.caps,604.88
ansible.module_utils.facts.system.chroot,604.68
ansible.module_utils.facts.system.cmdline,605.32
ansible.module_utils.facts.system.date_time,604.21
ansible.module_utils.facts.system.distribution,605.78
ansible.module_utils.facts.system.dns,605.16
ansible.module_utils.facts.system.fips,604.06
ansible.module_utils.facts.system.local,605.02
ansible.module_utils.facts.system.lsb,603.88
ansible.module_utils.facts.system.platform,604.15
ansible.module_utils.facts.system.python,604.03
ansible.module_utils.facts.system.selinux,604.72
ansible.module_utils.facts.system.service_mgr,605.38
ansible.module_utils.facts.system.ssh_pub_keys,603.98
ansible.module_utils.facts.system.user,604.85
ansible.module_utils.facts.utils,604.04
ansible.module_utils.facts.virtual.freebsd,604.00
ansible.module_utils.facts.virtual.hpux,605.08
ansible.module_utils.facts.virtual.linux,614.74
ansible.module_utils.facts.virtual.netbsd,605.21
ansible.module_utils.facts.virtual.openbsd,604.87
ansible.module_utils.facts.virtual.sunos,604.47
ansible.module_utils.facts.virtual.sysctl,605.35
